SSID: A0:A3:F0:46:24:D4, BSSID: 91355997-2.4G, CHAN: Infra, FREQ: 6,RATE: 130 + Mbit/s, SIGNAL: 55,BARS: ▂▄__, SECURITY: WPA1
SSID: A0:A3:F0:46:24:B9, BSSID: 45137333-2.4G, CHAN: Infra, FREQ: 1,RATE: 270 + Mbit/s, SIGNAL: 50,BARS: ▂▄__, SECURITY: WPA1
SSID: A0:A3:F0:46:24:BC, BSSID: 41938632-2.4G, CHAN: Infra, FREQ: 7,RATE: 270 + Mbit/s, SIGNAL: 45,BARS: ▂▄__, SECURITY: WPA1
SSID: A0:A3:F0:46:24:EF, BSSID: 45674431-2.4G, CHAN: Infra, FREQ: 6,RATE: 270 + Mbit/s, SIGNAL: 42,BARS: ▂▄__, SECURITY: WPA1
SSID: A0:A3:F0:46:24:BA, BSSID: 45137333-5G, CHAN: Infra, FREQ: 36,RATE: 270 + Mbit/s, SIGNAL: 39,BARS: ▂▄__, SECURITY: WPA1
SSID: A0:A3:F0:46:24:F3, BSSID: 88716327-5G, CHAN: Infra, FREQ: 48,RATE: 270 + Mbit/s, SIGNAL: 39,BARS: ▂▄__, SECURITY: WPA1
SSID: A0:A3:F0:46:24:D5, BSSID: 91355997-5G, CHAN: Infra, FREQ: 48,RATE: 270 + Mbit/s, SIGNAL: 35,BARS: ▂▄__, SECURITY: WPA1
SSID: A0:A3:F0:46:24:D7, BSSID: 64777394-2.4G, CHAN: Infra, FREQ: 10,RATE: 270 + Mbit/s, SIGNAL: 32,BARS: ▂▄__, SECURITY: WPA1
SSID: A0:A3:F0:46:24:BD, BSSID: 41938632-5G, CHAN: Infra, FREQ: 44,RATE: 270 + Mbit/s, SIGNAL: 29,BARS: ▂___, SECURITY: WPA1
SSID: 98:F1:99:4A:5F:12, BSSID: wx03-920e75, CHAN: Infra, FREQ: 11,RATE: 65 + Mbit/s, SIGNAL: 24,BARS: ▂___, SECURITY: WPA1
SSID: A0:A3:F0:46:24:F2, BSSID: 88716327-2.4G, CHAN: Infra, FREQ: 6,RATE: 270 + Mbit/s, SIGNAL: 19,BARS: ▂___, SECURITY: WPA1
